Control Ref. No,Control Name,Control Description,Questionnares,Evidence Required,Client Remark,Auditor Observations,Risk,Recommendations,Status
CLD.9.3,Incident Response & Forensics,"ISO/IEC 27017 mandates Incident Response & Forensics capabilities to handle security breaches, cloud forensics, and automated incident handling effectively. Organizations must have a documented incident response plan, ensure forensic evidence collection, and integrate automated threat response mechanisms. Cloud forensic techniques should support root cause analysis, containment, and mitigation of security incidents, while ensuring compliance with regulations like GDPR, ISO 27017, and NIST.","1. Does your organization have a documented cloud incident response plan?
 
 A) Yes, a formalized plan aligned with ISO 27017 and NIST 800-61
 B) There is an informal process for handling incidents
 C) Incident response is ad hoc and handled when needed
 D) No incident response plan exists
 Answer: A","Incident Response Plan: Documented plan outlining roles, responsibilities, and response procedures for cloud security incidents.",FALSE,,,,
,,,"2. How are security incidents detected and responded to in your cloud environment?
 
 A) Through automated threat detection, SIEM correlation, and predefined response workflows
 B) Only manual investigation after an incident occurs
 C) Incidents are reported but not actively monitored
 D) No formal detection or response mechanisms are in place
 Answer: A","Forensic Evidence Collection Process: Proof of secure forensic data collection, chain of custody procedures, and evidence integrity measures.",FALSE,,,,
,,,"3. How is forensic evidence collected following a cloud security incident?
 
 A) Using cloud-native forensic tools, log analysis, and secure evidence storage
 B) Evidence is collected but not in a structured manner
 C) Incident data is not retained for forensic investigations
 D) No forensic capabilities are implemented
 Answer: A","Incident Logs & Analysis Reports: SIEM-generated reports of previous security incidents, detection timelines, and response actions.",FALSE,,,,
,,,"4. What steps are taken to ensure forensic data integrity in cloud investigations?
 
 A) Chain of custody, hashing, and encrypted storage of forensic data
 B) Data is stored but can be altered if needed
 C) No special handling for forensic data integrity
 D) Incident data is deleted after resolution
 Answer: A",Threat Containment Reports: Documentation showing automated and manual containment actions performed during past incidents.,FALSE,,,,
,,,"5. How does your organization ensure incident response actions are tested regularly?
 
 A) By conducting simulated attack exercises, red teaming, and tabletop exercises
 B) Testing is done only when an actual breach occurs
 C) There is no structured testing of incident response processes
 D) Incident response is reactive and not proactively tested
 Answer: A","Incident Response Testing Records: Evidence of tabletop exercises, red teaming, and security drills conducted periodically.",FALSE,,,,
,,,"6. How is incident response automation implemented in your cloud environment?
 
 A) Automated playbooks, SOAR (Security Orchestration, Automation, and Response), and AI-based threat containment
 B) Security teams manually handle all incident response tasks
 C) Some automated processes exist but are not fully integrated
 D) No automation is used in incident response
 Answer: A","Forensic Tools & Techniques Used: Logs showing usage of AWS GuardDuty, Azure Sentinel, Google Chronicle, or other cloud forensic tools.",FALSE,,,,
,,,"7. How does your organization ensure compliance with regulatory requirements for cloud forensics?
 
 A) Following regulatory frameworks (ISO 27017, GDPR, PCI DSS) and maintaining forensic logs
 B) Compliance is considered but not formally implemented
 C) Forensic investigations are conducted without adherence to regulations
 D) Compliance is only checked when external audits occur
 Answer: A","Regulatory Compliance Reports: Proof of alignment with ISO 27017, GDPR, PCI DSS, and other applicable regulations.",FALSE,,,,
,,,"8. What forensic tools are used for cloud incident investigations?
 
 A) Cloud-native forensic tools (AWS GuardDuty, Azure Sentinel, Google Chronicle) and SIEM integration
 B) Standard operating system tools without cloud-specific capabilities
 C) No specialized tools are used for forensic analysis
 D) Forensic investigations are outsourced with no internal capability
 Answer: A",Automation & SOAR Integration Reports: Evidence of automated incident handling workflows and orchestration mechanisms.,FALSE,,,,
,,,"9. How does your organization ensure rapid containment of cloud security incidents?
 
 A) Automated isolation, incident response workflows, and real-time monitoring
 B) Incidents are reviewed manually, with no real-time containment
 C) Security teams respond based on business hours
 D) No containment mechanisms are in place
 Answer: A",Immutable Log Storage Proof: Screenshots or logs showing tamper-proof forensic data storage with access control policies.,FALSE,,,,
,,,"10. How does your organization ensure that forensic logs are tamper-proof?
 
 A) Logs are stored in immutable storage with strict access controls
 B) Logs are stored but can be modified if needed
 C) No special protections exist for forensic logs
 D) Logs are retained temporarily and then deleted
 Answer: A","Post-Incident Review Reports: Documentation of incident root cause analysis, lessons learned, and security improvements implemented.",FALSE,,,,
CLD.10.1,Cloud Workload and Virtualization Security,"ISO/IEC 27017 mandates Cloud Workload and Virtualization Security to ensure hypervisor protection, container security, Kubernetes security, VM isolation, and cloud instance hardening. Organizations must implement sandboxing, secure images, and least privilege access for virtualized environments. Security measures should prevent VM escape, unauthorized access, and misconfiguration risks to maintain compliance with ISO 27017, NIST 800-125, and CIS Benchmarks.","1. How does your organization secure hypervisors in cloud environments?
 
 A) Applying vendor-recommended security patches, restricting access, and enabling hardware-assisted security features
 B) Hypervisors are managed without specific security controls
 C) Relying on default configurations without additional hardening
 D) No formal security measures exist for hypervisors
 Answer: A","Hypervisor Security Policies: Documentation on hypervisor hardening, patching schedule, and access control mechanisms.",FALSE,,,,
,,,"2. What measures are in place to ensure the security of virtual machines (VMs) in your cloud infrastructure?
 
 A) VM isolation, hardened OS configurations, and restricted admin access
 B) VMs run with default configurations and open access
 C) Security measures are implemented only for critical VMs
 D) No specific security controls for VMs
 Answer: A","VM Security Configuration Reports: Evidence of secure OS configurations, least privilege access, and VM isolation controls.",FALSE,,,,
,,,"3. How does your organization protect against container security threats?
 
 A) Using container image signing, runtime security monitoring, and vulnerability scanning
 B) Deploying containers without scanning or verifying security risks
 C) Containers are assumed secure because they are lightweight
 D) No formal container security practices are in place
 Answer: A","Container Security Assessment Reports: Proof of container runtime security, image scanning logs, and vulnerability remediation actions.",FALSE,,,,
,,,"4. What controls are implemented for Kubernetes security?
 
 A) Role-based access control (RBAC), network policies, pod security standards, and API authentication
 B) Kubernetes clusters are left with default security settings
 C) Security controls are applied only to worker nodes
 D) No security measures are implemented for Kubernetes
 Answer: A","Kubernetes Security Policies: Documentation showing RBAC implementation, pod security policies, and API authentication controls.",FALSE,,,,
,,,"5. How does your organization prevent VM escape attacks?
 
 A) Strict VM isolation, hypervisor patching, and secure multi-tenancy policies
 B) No specific measures against VM escape attacks
 C) Relying only on cloud provider security without additional controls
 D) Disabling security features to enhance performance
 Answer: A",Incident Response Logs for VM Escape Prevention: Reports demonstrating measures taken to detect and prevent VM escape attacks.,FALSE,,,,
,,,"6. How are cloud workloads protected from unauthorized access?
 
 A) Least privilege access, identity-based policies, and continuous monitoring
 B) All users have unrestricted access to cloud workloads
 C) Access control is managed manually without automation
 D) No access restrictions are enforced on cloud workloads
 Answer: A","Access Control Policies for Cloud Workloads: Logs showing enforcement of IAM policies, role-based permissions, and privilege monitoring.",FALSE,,,,
,,,"7. What controls ensure the security of containerized workloads in production?
 
 A) Runtime security monitoring, image validation, and least privilege execution
 B) Containers are deployed without security validation
 C) Only pre-deployment scanning is performed, with no runtime monitoring
 D) No security controls are applied to running containers
 Answer: A",Runtime Security Logs for Containers and VMs: Evidence of continuous monitoring for anomalies and security violations.,FALSE,,,,
,,,"8. How does your organization ensure secure cloud instance provisioning?
 
 A) Using hardened base images, automated security configuration checks, and compliance validation
 B) Instances are provisioned without security benchmarks
 C) Security settings are manually applied after instance deployment
 D) No security controls for provisioning new cloud instances
 Answer: A","Secure Cloud Instance Deployment Reports: Documentation of hardened base images, compliance validation, and provisioning workflows.",FALSE,,,,
,,,"9. How does your organization handle sandboxing of untrusted workloads?
 
 A) Running untrusted workloads in isolated environments with strict resource controls
 B) Running untrusted applications directly in production environments
 C) Relying on host-based security without sandboxing
 D) No specific controls for sandboxing untrusted workloads
 Answer: A",Sandboxing Implementation Records: Proof of sandboxing configurations for testing and running untrusted workloads securely.,FALSE,,,,
,,,"10. How does your organization verify the integrity of VM and container images before deployment?
 
 A) Image signing, vulnerability scanning, and compliance checks
 B) Deploying images without security verification
 C) Trusting all images from public repositories without validation
 D) No formal verification process for cloud workload images
 Answer: A","Image Integrity Verification Logs: Logs confirming image signing, vulnerability scanning, and policy-based approval processes.",FALSE,,,,
CLD.10.2,Cloud Patch Management & Vulnerability Scanning,"ISO/IEC 27017 mandates Cloud Patch Management & Vulnerability Scanning to ensure continuous security through patch automation, vulnerability management, compliance scanning, and remediation. Organizations must implement secure configurations, CVE (Common Vulnerabilities and Exposures) management, and risk-based patching strategies. Regular automated scanning and patching are critical for compliance with ISO 27017, NIST 800-53, CIS Benchmarks, and PCI DSS.","1. How does your organization ensure timely patching of cloud workloads?
 
 A) Automated patch management with scheduled updates and compliance verification
 B) Patching is done manually on an ad hoc basis
 C) Patches are applied only when security incidents occur
 D) No structured patch management process exists
 Answer: A","Patch Management Policy: Documented policies covering automated patching, update schedules, and remediation timelines.",FALSE,,,,
,,,"2. How frequently are vulnerability scans conducted on cloud systems?
 
 A) Continuously or at least weekly with automated reporting
 B) Monthly or quarterly without strict enforcement
 C) Only when a vulnerability is reported externally
 D) No regular vulnerability scans are conducted
 Answer: A","Vulnerability Scan Reports: Evidence of continuous scanning, detected vulnerabilities, and remediation actions.",FALSE,,,,
,,,"3. What process is followed to prioritize vulnerability remediation?
 
 A) Risk-based approach considering CVSS scores, exploitability, and business impact
 B) Remediation is performed randomly without prioritization
 C) Only critical vulnerabilities are patched, ignoring lower-severity ones
 D) No structured remediation process is in place
 Answer: A","Patch Deployment Logs: Proof of successful patch application, validation reports, and rollback plans.",FALSE,,,,
,,,"4. How does your organization ensure cloud configurations align with security best practices?
 
 A) Compliance scanning against CIS Benchmarks, NIST guidelines, and cloud provider recommendations
 B) Configuration reviews are performed only during audits
 C) Default configurations are used without additional hardening
 D) No formal cloud configuration management exists
 Answer: A",Risk-Based Remediation Strategy: Documentation outlining how vulnerabilities are prioritized and addressed based on risk.,FALSE,,,,
,,,"5. How are unpatched vulnerabilities in cloud workloads managed?
 
 A) Risk acceptance, compensating controls, or expedited patch deployment
 B) Vulnerabilities remain unpatched indefinitely
 C) Patches are applied only if explicitly requested by compliance teams
 D) No formal tracking of unpatched vulnerabilities
 Answer: A","Compliance Scanning Reports: Logs showing alignment with CIS Benchmarks, ISO 27017, and cloud security guidelines.",FALSE,,,,
,,,"6. What tools are used for cloud vulnerability scanning?
 
 A) Cloud-native scanners (AWS Inspector, Azure Defender, Google Security Command Center) and third-party tools (Nessus, Qualys, Tenable)
 B) Vulnerability scanning is not performed
 C) Only basic operating system checks are conducted
 D) Relying solely on external security reports
 Answer: A","Automation & Patch Management Tools: Evidence of AWS Systems Manager, Azure Update Management, or other patch automation tools in use.",FALSE,,,,
,,,"7. How does your organization verify the success of applied patches?
 
 A) Automated compliance scanning, patch validation reports, and security audits
 B) Patch application is assumed successful without verification
 C) Success is checked only if an issue arises post-patching
 D) No verification of patching effectiveness is performed
 Answer: A",Critical Patch Deployment Records: Reports demonstrating emergency patching processes and response times for critical vulnerabilities.,FALSE,,,,
,,,"8. How is patch deployment automated across cloud environments?
 
 A) Using centralized patch management tools (AWS Systems Manager, Azure Update Management, Google OS Patch Management)
 B) Patches are applied manually with no automation
 C) Automation exists but is inconsistently enforced
 D) No patch automation is implemented
 Answer: A",Configuration Hardening Proof: Screenshots or reports showing secure configurations enforced across cloud workloads.,FALSE,,,,
,,,"9. How does your organization handle emergency security patches for critical vulnerabilities?
 
 A) Expedited patch deployment process with predefined SLAs
 B) Emergency patches are delayed until the next scheduled update
 C) No specific process exists for critical security patches
 D) Only cloud providers handle emergency patches
 Answer: A",Cloud Provider Security Advisory Reports: Documentation confirming implementation of cloud vendor security updates.,FALSE,,,,
,,,"10. How are outdated or end-of-life (EOL) cloud workloads managed?
 
 A) Decommissioning, migrating to supported versions, or applying extended security updates
 B) Outdated workloads continue running without security updates
 C) Only mission-critical workloads receive updates, while others are ignored
 D) No tracking of outdated workloads
 Answer: A","Decommissioning or Upgrade Records: Proof of EOL workload tracking, migration strategies, and security updates.",FALSE,,,,
CLD.11.1,Cloud Backup & Disaster Recovery,"ISO/IEC 27017 mandates Cloud Backup & Disaster Recovery (BDR) to ensure business continuity through geo-redundant cloud backups, robust disaster recovery plans (DRP), and well-defined Recovery Time Objectives (RTO) and Recovery Point Objectives (RPO). Organizations must secure backup data through encryption, access control, and snapshot integrity while conducting regular disaster recovery testing to comply with ISO 27017, ISO 22301 (Business Continuity), NIST SP 800-34, and CIS Controls.","1. How does your organization ensure that cloud backups are secure and tamper-proof?
 
 A) Encrypting backups, applying access controls, and using immutable storage
 B) Storing backups without encryption or access restrictions
 C) Only relying on cloud provider's built-in backup mechanisms
 D) No specific security measures for backup protection
 Answer: A","Cloud Backup & DRP Policy: Documented policy covering backup frequency, retention, encryption, and DR procedures.",FALSE,,,,
,,,"2. What is the Recovery Time Objective (RTO) for your critical cloud workloads?
 
 A) Clearly defined and documented based on business impact analysis
 B) Determined on an ad hoc basis during incidents
 C) RTO is unknown and not formally defined
 D) RTO is only considered for on-premise systems, not cloud workloads
 Answer: A",Backup Encryption Proof: Evidence that backups are encrypted in transit and at rest using industry-standard encryption.,FALSE,,,,
,,,"3. How frequently does your organization test its Disaster Recovery Plan (DRP)?
 
 A) At least annually, with documented results and continuous improvements
 B) DRP testing is performed only when a major incident occurs
 C) Disaster recovery is assumed to work without formal testing
 D) No DRP testing is conducted
 Answer: A",RTO & RPO Documentation: Clearly defined Recovery Time Objectives (RTO) and Recovery Point Objectives (RPO) for critical workloads.,FALSE,,,,
,,,"4. How are cloud backups protected against ransomware attacks?
 
 A) Air-gapped or immutable backups with versioning and anomaly detection
 B) Relying solely on primary production data without backup segregation
 C) Backups are stored in the same environment as production data
 D) No specific protection measures against ransomware
 Answer: A",Disaster Recovery Test Reports: Proof of annual or periodic DR testing results and corrective actions taken.,FALSE,,,,
,,,"5. What is the Recovery Point Objective (RPO) for your most critical data?
 
 A) Clearly defined based on business needs and data loss tolerance
 B) Determined only during a disaster recovery event
 C) RPO is not formally documented or tested
 D) Data recovery objectives are managed manually without clear metrics
 Answer: A","Immutable & Air-Gapped Backup Configurations: Evidence of ransomware protection mechanisms, such as immutable backups.",FALSE,,,,
,,,"6. How does your organization ensure backup data integrity and recoverability?
 
 A) Automated backup verification, checksum validation, and recovery drills
 B) Backups are assumed to be recoverable without testing
 C) Recovery testing is performed only if an issue is reported
 D) No formal backup integrity checks exist
 Answer: A","Backup Integrity & Recovery Validation Logs: Reports showing backup verification processes, checksum validation, and recovery success rates.",FALSE,,,,
,,,"7. Where are backup copies stored to ensure geo-redundancy?
 
 A) In multiple geographically separate cloud regions with failover capabilities
 B) All backups are stored in the same region as production workloads
 C) Backups are stored on-premise without cloud replication
 D) No secondary backup location is maintained
 Answer: A",Geo-Redundant Backup Locations: Documentation confirming storage of backups across multiple cloud regions.,FALSE,,,,
,,,"8. What measures are in place to restrict unauthorized access to backup data?
 
 A) Strict IAM controls, multi-factor authentication (MFA), and role-based access
 B) Backups are accessible to all users with minimal restrictions
 C) Access control policies are applied only during audits
 D) No formal access restrictions exist for backup data
 Answer: A","Access Control & IAM Policies for Backups: Logs showing restricted access based on roles, MFA enforcement, and audit trails.",FALSE,,,,
,,,"9. How is backup retention managed to meet compliance requirements?
 
 A) Backup retention policies align with regulatory and business requirements
 B) Backups are retained indefinitely without review
 C) Retention is determined on an ad hoc basis without documentation
 D) No formal backup retention policies exist
 Answer: A","Backup Retention Policies: Records ensuring compliance with GDPR, HIPAA, PCI DSS, or other regulatory requirements.",FALSE,,,,
,,,"10. What is the process for initiating a disaster recovery failover in your organization?
 
 A) Clearly defined, documented, and automated failover procedures
 B) Failover is handled manually without predefined processes
 C) Disaster recovery is assumed to be automatic without validation
 D) No formal process for disaster recovery failover exists
 Answer: A",Disaster Recovery Failover Documentation: Step-by-step procedure for failover execution and service restoration.,FALSE,,,,
CLD.11.2,Cloud Availability & Resilience,"ISO/IEC 27017 emphasizes Cloud Availability & Resilience to ensure continuous service delivery through high availability (HA), redundancy planning, load balancing, and auto-scaling mechanisms. Organizations must design cloud architectures that mitigate single points of failure, implement failover strategies, and ensure service continuity in compliance with ISO 27017, ISO 22301 (Business Continuity), NIST SP 800-160, and CIS Controls.","1. What measures are in place to ensure high availability (HA) of critical cloud workloads?
 
 A) Multi-region deployment, failover strategies, and redundant infrastructure
 B) Relying solely on cloud provider uptime guarantees
 C) No specific HA measures are in place
 D) Manual recovery processes in case of failure
 Answer: A","High Availability (HA) Architecture Diagrams: Proof of multi-region, multi-AZ deployments and redundancy strategies.",FALSE,,,,
,,,"2. How does your organization implement load balancing in cloud environments?
 
 A) Cloud-native load balancers (AWS ALB/NLB, Azure Load Balancer, Google Cloud Load Balancer)
 B) No load balancing is used; requests are routed manually
 C) Load balancing is performed at the application level only
 D) Only hardware-based load balancing is used
 Answer: A",Load Balancer Configurations: Documentation showing cloud-native load balancer implementations and traffic routing strategies.,FALSE,,,,
,,,"3. What redundancy planning strategies are used to prevent single points of failure?
 
 A) Multi-AZ, multi-region architectures, and database replication
 B) Running all workloads in a single cloud zone
 C) Relying solely on backups instead of redundancy
 D) No formal redundancy planning
 Answer: A","Redundancy Planning Documents: Evidence of failover mechanisms, replication strategies, and data availability measures.",FALSE,,,,
,,,"4. How does your organization handle cloud service disruptions to ensure resilience?
 
 A) Automated failover mechanisms and service degradation handling
 B) Relying solely on cloud provider SLAs
 C) Waiting for manual intervention to resolve outages
 D) No documented resilience strategy exists
 Answer: A",Auto-Scaling Policies & Logs: Proof of threshold-based auto-scaling and historical scaling activities.,FALSE,,,,
,,,"5. How is auto-scaling configured for handling fluctuating workloads?
 
 A) Dynamic auto-scaling with thresholds for CPU, memory, and network traffic
 B) Scaling decisions are made manually on demand
 C) Fixed infrastructure with no scalability planning
 D) Relying on third-party vendors for scaling
 Answer: A","Cloud Service Uptime Reports: Monitoring logs from AWS CloudWatch, Azure Monitor, or equivalent tools.",FALSE,,,,
,,,"6. What cloud monitoring tools are used for availability and resilience tracking?
 
 A) Cloud-native monitoring solutions (AWS CloudWatch, Azure Monitor, Google Cloud Operations)
 B) No monitoring tools are implemented
 C) Only on-premise monitoring tools are used for cloud workloads
 D) Monitoring is done manually through occasional checks
 Answer: A","Resilience Testing Reports: Results from failover drills, HA testing, and incident response exercises.",FALSE,,,,
,,,"7. How does your organization ensure continuity during peak usage times?
 
 A) Auto-scaling, caching strategies, and workload distribution
 B) No special measures are in place
 C) Manually scaling resources when needed
 D) Restricting service availability during peak times
 Answer: A",Failover Mechanism Proof: Screenshots or logs confirming automated failover execution.,FALSE,,,,
,,,"8. What failover mechanisms are in place for cloud services?
 
 A) Automated failover with health checks and secondary service activation
 B) Manual failover processes initiated by administrators
 C) No failover mechanisms are implemented
 D) Relying solely on backups for failover
 Answer: A",Service Disruption Handling Procedures: Incident management documents detailing response plans for cloud service failures.,FALSE,,,,
,,,"9. How often are availability and resilience strategies tested?
 
 A) At least annually through resilience drills and failover testing
 B) Only when a service outage occurs
 C) Availability testing is not performed regularly
 D) Only theoretical resilience planning without testing
 Answer: A","Availability & Performance Metrics: Historical data showcasing system uptime, latency, and scalability efficiency.",FALSE,,,,
,,,"10. How does your organization ensure cloud service recovery aligns with business objectives?
 
 A) Aligning Recovery Time Objectives (RTO) and Recovery Point Objectives (RPO) with business impact analysis
 B) No structured recovery objectives exist
 C) Recovery objectives are determined only post-incident
 D) Relying solely on cloud provider uptime guarantees
 Answer: A",Cloud Provider SLA Agreements: Contracts ensuring minimum uptime commitments and resilience guarantees.,FALSE,,,,
CLD.12.1,Cloud DevSecOps & Secure CI/CD Pipelines,"ISO/IEC 27017 enforces Cloud DevSecOps & Secure CI/CD Pipelines to integrate security within development, testing, and deployment workflows. This includes secure coding practices, Static and Dynamic Application Security Testing (SAST/DAST), Infrastructure as Code (IaC) security, supply chain security, and automated security testing. Organizations must align DevSecOps with ISO 27017, ISO 27001 Annex A.14 (Secure Development), NIST SP 800-53, and OWASP SAMM to ensure software integrity and resilience.","1. How does your organization enforce secure coding practices in cloud-based development?
 
 A) Developers follow secure coding guidelines, conduct peer reviews, and use automated code scanning tools
 B) Security reviews are conducted only before production release
 C) Secure coding is left to individual developer discretion
 D) No formal secure coding practices exist
 Answer: A","Secure Development Policy: Documented policies enforcing secure coding, CI/CD security practices, and compliance with OWASP and NIST frameworks.",FALSE,,,,
,,,"2. What mechanisms are in place to identify vulnerabilities in application code before deployment?
 
 A) SAST/DAST tools, Software Composition Analysis (SCA), and automated security testing
 B) Only manual code reviews are performed
 C) Vulnerability scanning is conducted after deployment
 D) No pre-deployment security scanning is performed
 Answer: A","Code Review & Security Testing Logs: Evidence of SAST/DAST scanning, manual code reviews, and automated security tests before deployment.",FALSE,,,,
,,,"3. How does your organization secure Infrastructure as Code (IaC) configurations?
 
 A) Automated security scans for misconfigurations, IaC policy enforcement, and secrets management
 B) Manual code reviews without automation
 C) Relying solely on cloud provider security features
 D) No specific security measures for IaC
 Answer: A","IaC Security Reports: Results from Terraform, AWS CloudFormation, or Kubernetes security scans (e.g., Checkov, KICS, Trivy).",FALSE,,,,
,,,"4. How are secrets (e.g., API keys, credentials) managed in CI/CD pipelines?
 
 A) Using secure vaults (AWS Secrets Manager, HashiCorp Vault, Azure Key Vault)
 B) Storing secrets directly in source code repositories
 C) Hardcoding credentials in configuration files
 D) No defined secrets management strategy
 Answer: A","Secrets Management Documentation: Proof of API key and credential storage using secure vaults (e.g., AWS Secrets Manager, Azure Key Vault).",FALSE,,,,
,,,"5. What security checks are performed before deploying code to production?
 
 A) Automated security scans, compliance checks, and vulnerability assessments
 B) No security checks before deployment
 C) Manual security reviews by the development team only
 D) Security testing is performed post-deployment only
 Answer: A",Supply Chain Security Controls: Records showing dependency vulnerability scanning and verification of third-party software.,FALSE,,,,
,,,"6. How does your organization secure third-party dependencies in cloud applications?
 
 A) Software Composition Analysis (SCA) and dependency vulnerability scanning
 B) Using third-party dependencies without security validation
 C) Updating dependencies only when an issue arises
 D) Relying solely on vendor assurances
 Answer: A","CI/CD Pipeline Security Configurations: Screenshots or logs showing security checks integrated into GitHub Actions, GitLab CI/CD, or Jenkins.",FALSE,,,,
,,,"7. What measures are in place to prevent supply chain attacks in cloud development?
 
 A) Verifying software provenance, enforcing digital signatures, and continuous monitoring
 B) No specific protections against supply chain threats
 C) Relying only on cloud provider security controls
 D) Manually assessing third-party software security
 Answer: A",Incident Response Documentation: Records of vulnerability mitigation steps and blocked insecure deployments.,FALSE,,,,
,,,"8. How does your organization handle security misconfigurations in cloud CI/CD pipelines?
 
 A) Automated misconfiguration scanning tools (e.g., KICS, Checkov, CloudFormation Linter)
 B) Manually reviewing configurations after deployment
 C) No formal process for identifying misconfigurations
 D) Relying solely on third-party security audits
 Answer: A",Threat Modeling Reports: Documentation of threat modeling exercises for identifying potential risks in cloud development.,FALSE,,,,
,,,"9. How often are security tests conducted within your CI/CD pipelines?
 
 A) Continuously, with every code commit and deployment
 B) Only before major software releases
 C) Security tests are conducted ad hoc
 D) No security testing is performed within CI/CD pipelines
 Answer: A",Security Awareness Training Records: Logs of developer training on secure coding and CI/CD security best practices.,FALSE,,,,
,,,"10. What actions are taken if security vulnerabilities are detected in the development pipeline?
 
 A) Code is blocked from deployment until vulnerabilities are remediated
 B) Vulnerabilities are noted but not immediately fixed
 C) The issue is assessed only after deployment
 D) No formal remediation process exists
 Answer: A",Audit Logs & Monitoring Data: Cloud security monitoring reports showing anomalous CI/CD activities and proactive security controls.,FALSE,,,,
CLD.12.2,Cloud Container & Kubernetes Security,"ISO/IEC 27017 mandates Cloud Container & Kubernetes Security to protect containerized workloads in cloud environments. Organizations must secure Docker images, enforce Kubernetes Role-Based Access Control (RBAC), segment namespaces, and implement least privilege principles for containers. Compliance with ISO 27001 Annex A.14 (Secure Development), NIST SP 800-190 (Application Container Security Guide), and CIS Kubernetes Benchmarks ensures a robust security posture for containerized applications.","1. How does your organization ensure the security of container images before deployment?
 
 A) Scanning container images for vulnerabilities using tools like Trivy or Clair
 B) Deploying containers without security checks
 C) Using images from unverified sources
 D) Relying solely on cloud provider security features
 Answer: A","Container Image Security Reports: Reports from container vulnerability scanning tools (e.g., Trivy, Clair, Anchore).",FALSE,,,,
,,,"2. What security measures are in place to protect Kubernetes API access?
 
 A) RBAC enforcement, API authentication via tokens/certificates, and audit logging
 B) Kubernetes API is open to all users without authentication
 C) API security is managed by the developers only
 D) No specific security controls for API access
 Answer: A","Kubernetes RBAC Configurations: Documentation of RBAC policies, roles, and least privilege access controls.",FALSE,,,,
,,,"3. How does your organization enforce least privilege access in Kubernetes?
 
 A) Using Role-Based Access Control (RBAC) with least privilege principles
 B) Assigning admin privileges to all users
 C) Not restricting access based on roles
 D) Managing access manually on an as-needed basis
 Answer: A","Namespace & Network Segmentation Policies: Proof of namespace segmentation, Kubernetes network policies, and firewall rules.",FALSE,,,,
,,,"4. How are container runtime security risks mitigated in your cloud environment?
 
 A) Using runtime security tools like Falco, AppArmor, or SELinux
 B) Containers run with full root privileges
 C) Security is handled post-deployment only
 D) No specific runtime security measures exist
 Answer: A","Runtime Security Enforcement: Logs from runtime security tools like Falco, AppArmor, SELinux, or Seccomp.",FALSE,,,,
,,,"5. What mechanisms are used to segment workloads in Kubernetes clusters?
 
 A) Namespace segmentation, network policies, and pod security policies
 B) Running all workloads in a single namespace
 C) Using only firewall rules for isolation
 D) No segmentation is enforced
 Answer: A",Kubernetes Secrets Management: Evidence of encrypted Kubernetes Secrets and integration with secure vaults.,FALSE,,,,
,,,"6. How does your organization secure Kubernetes secrets?
 
 A) Using Kubernetes Secrets encrypted at rest and integrating with vaults (AWS Secrets Manager, HashiCorp Vault)
 B) Storing secrets in container environment variables
 C) Hardcoding secrets in application source code
 D) No formal secrets management strategy
 Answer: A",Pod Security Policies & Security Context: Documentation showing enforced security settings to restrict privilege escalation.,FALSE,,,,
,,,"7. How are unauthorized container privilege escalations prevented?
 
 A) Implementing Pod Security Policies (PSP) or Kubernetes Security Context
 B) Allowing containers to run as root
 C) No restrictions on privilege escalation
 D) Relying on cloud provider security alone
 Answer: A","Audit Log Configuration & SIEM Integration: Proof that Kubernetes audit logs are enabled and monitored using SIEM solutions (e.g., Splunk, ELK, AWS Security Hub).",FALSE,,,,
,,,"8. How does your organization ensure Kubernetes audit logs are monitored?
 
 A) Enabling Kubernetes audit logging and integrating with SIEM solutions
 B) Audit logs are disabled to reduce storage costs
 C) Logs are only reviewed during incidents
 D) No centralized logging strategy exists
 Answer: A","Container Networking Controls: Evidence of Kubernetes Network Policies and security configurations in service meshes (e.g., Istio, Linkerd).",FALSE,,,,
,,,"9. How do you ensure container network security?
 
 A) Using Kubernetes Network Policies and service mesh security (e.g., Istio, Linkerd)
 B) Relying only on cloud provider VPC security
 C) Not applying network restrictions within the cluster
 D) Using only external firewalls without internal segmentation
 Answer: A","Supply Chain Security Compliance: Records of container image signing, software bill of materials (SBOM), and third-party security validation.",FALSE,,,,
,,,"10. What security controls are in place to protect against supply chain risks in containerized applications?
 
 A) Container image signing, supply chain validation, and SBOM (Software Bill of Materials) scanning
 B) Using any public container images without verification
 C) Assuming all cloud provider images are secure
 D) No formal process for validating third-party dependencies
 Answer: A",Incident Response & Remediation Logs: Reports demonstrating how detected container security threats are mitigated.,FALSE,,,,
CLD.13.1,Cloud Supplier & Third-Party Risk Management,"ISO/IEC 27017 and ISO/IEC 27036 (Supplier Relationships Security) mandate Cloud Supplier & Third-Party Risk Management to ensure security and compliance in cloud-based vendor relationships. Organizations must assess vendor security, conduct compliance audits, evaluate Cloud Service Provider (CSP) risks, manage legal obligations, and secure the supply chain. Adherence to SOC 2, NIST 800-161 (Supply Chain Risk Management), GDPR, and CSA STAR ensures a robust vendor risk management framework.","1. How does your organization assess the security posture of cloud vendors before onboarding?
 
 A) Conducting third-party security assessments, due diligence, and risk evaluations
 B) Trusting vendor claims without verification
 C) Selecting vendors solely based on cost-effectiveness
 D) Allowing business units to onboard vendors without security review
 Answer: A","Vendor Security Risk Assessments: Reports on cloud vendor security evaluations, risk ratings, and third-party due diligence.",FALSE,,,,
